Date,Close
2/01/2019,149.15293844082873
3/01/2019,149.42530243379593
4/01/2019,136.94586191735732
7/01/2019,135.63270424954027
8/01/2019,141.76055762433873
9/01/2019,141.57791007520353
10/01/2019,133.30676995963228
11/01/2019,142.5736055255656
14/01/2019,150.01454419775825
15/01/2019,148.89440037960514
16/01/2019,148.64279467004246
17/01/2019,158.30647977721753
18/01/2019,147.7948955473299
22/01/2019,147.5510287518033
23/01/2019,151.76622735757647
24/01/2019,150.16220423512138
25/01/2019,151.2992836982416
28/01/2019,149.6573355291199
29/01/2019,149.34145536989786
30/01/2019,150.7738509343078
31/01/2019,142.02777768755976
1/02/2019,148.31981322305927
4/02/2019,142.65617612686947
5/02/2019,144.09165810375262
6/02/2019,143.32992936318254
7/02/2019,138.40978860132157
8/02/2019,142.03621212628678
11/02/2019,151.29226304531224
12/02/2019,151.24448406110014
13/02/2019,150.9375671767369
14/02/2019,149.77934559568644
15/02/2019,151.7193234569967
19/02/2019,144.45497755359793
20/02/2019,147.51226129695544
21/02/2019,151.04774332055368
22/02/2019,151.21952948734398
25/02/2019,141.4836896077274
26/02/2019,151.08749722174176
27/02/2019,156.97283834279574
28/02/2019,148.4687218760842
1/03/2019,147.7524276352135
4/03/2019,143.62092655780782
5/03/2019,148.55085069242995
6/03/2019,149.14485060361312
7/03/2019,162.4745814211028
8/03/2019,158.2827572819918
11/03/2019,163.43875273127063
12/03/2019,153.69936984072845
13/03/2019,151.0693740522361
14/03/2019,162.40744213501236
15/03/2019,150.9156469734701
18/03/2019,147.5945235334044
19/03/2019,151.1435268058374
20/03/2019,150.04878632828175
21/03/2019,151.33873989601628
22/03/2019,142.6767985833027
25/03/2019,150.91405639712232
26/03/2019,163.4411128469481
27/03/2019,163.44621980054274
28/03/2019,162.99854819664742
29/03/2019,154.88012805831738
1/04/2019,162.41440120764526
2/04/2019,148.96642936563302
3/04/2019,149.15489596510875
4/04/2019,163.23026816682972
5/04/2019,163.3630394071803
8/04/2019,151.40418540057954
9/04/2019,163.28491969303724
10/04/2019,149.6063843877335
11/04/2019,147.46658540549112
12/04/2019,148.55924922389082
15/04/2019,151.0473643811336
16/04/2019,147.5274652360439
17/04/2019,149.70192626688572
18/04/2019,150.28049924829907
22/04/2019,145.91033910330094
23/04/2019,139.88058539364965
24/04/2019,153.719416428644
25/04/2019,163.26182450658945
26/04/2019,150.4879731327345
29/04/2019,162.94210484785876
30/04/2019,148.95857465776146
1/05/2019,163.33723653271375
2/05/2019,157.37838671987788
3/05/2019,163.30335412919817
6/05/2019,151.25640815127736
7/05/2019,162.9376283961201
8/05/2019,139.83840690773695
9/05/2019,139.74688731383355
10/05/2019,146.36918799753605
13/05/2019,148.20282402713653
14/05/2019,150.96005663717636
15/05/2019,148.82699880667968
16/05/2019,149.86243527477478
17/05/2019,141.84710569930326
20/05/2019,140.58182711270828
21/05/2019,163.2201317956778
22/05/2019,141.30283278599074
23/05/2019,153.36205835440416
24/05/2019,149.33136927729925
28/05/2019,147.64968728631942
29/05/2019,163.2078726893672
30/05/2019,149.19838032787408
31/05/2019,154.22334403532096
3/06/2019,159.38155820540095
4/06/2019,148.0877091993732
5/06/2019,150.28472240571935
6/06/2019,153.52793571298866
7/06/2019,141.52913943261785
10/06/2019,160.8937924422608
11/06/2019,145.0814220286721
12/06/2019,148.7904211729562
13/06/2019,140.81196392076427
14/06/2019,149.71233637708738
17/06/2019,141.12631477798905
18/06/2019,163.34418707868457
19/06/2019,145.1344942801259
20/06/2019,150.08507545906338
21/06/2019,149.62370305578554
24/06/2019,149.18237868909034
25/06/2019,147.60085671122206
26/06/2019,162.9598979182071
27/06/2019,148.21539158047787
28/06/2019,155.70467168535683
1/07/2019,151.0060550825722
2/07/2019,151.97375813211082
3/07/2019,142.0411055094283
5/07/2019,151.51822232378055
8/07/2019,154.76131679908798
